    51/199     7.62G   0.03729   0.02171         0     0.059        32       640    0.7625    0.7352    0.7573    0.3532   0.03581   0.01179         0
    52/199     7.62G   0.03686    0.0207         0   0.05755        31       640    0.7737    0.6984    0.7312    0.3608   0.03945   0.01287         0
    53/199     7.62G   0.03656    0.0212         0   0.05776        42       640    0.7621    0.7978    0.7922    0.3874   0.03408   0.01162         0
    54/199     7.62G   0.03672   0.02101         0   0.05774        35       640    0.7501    0.7452    0.7632    0.3811   0.03635   0.01159         0
    55/199     7.62G   0.03682   0.02098         0    0.0578        24       640    0.8086    0.7166    0.7903    0.3861   0.03485   0.01138         0
    56/199     7.62G   0.03654   0.02135         0    0.0579        36       640    0.7938    0.7652    0.7866    0.3843   0.03405   0.01128         0
    57/199     7.62G   0.03657   0.02076         0   0.05733        27       640      0.77    0.7744    0.7891    0.3911   0.03445   0.01149         0
    58/199     7.62G   0.03615   0.02085         0   0.05701        27       640    0.8066    0.7667    0.8175     0.413   0.03383   0.01152         0
    59/199     7.62G   0.03539   0.02116         0   0.05655        29       640    0.7572    0.7685    0.7695    0.3817   0.03372   0.01168         0
    60/199     7.62G   0.03568   0.02129         0   0.05697        33       640    0.8139    0.7611    0.8069    0.4224   0.03433   0.01137         0
    61/199     7.62G   0.03552   0.02079         0    0.0563        34       640      0.69     0.822    0.7537    0.3686   0.03418   0.01152         0
    62/199     7.62G   0.03494   0.02082         0   0.05577        37       640    0.7938    0.7526    0.8005    0.4067   0.03374   0.01147         0
    63/199     7.62G   0.03595   0.02118         0   0.05713        23       640    0.8115    0.7375    0.7996    0.4079   0.03435   0.01273         0
    64/199     7.62G   0.03577   0.02049         0   0.05626        40       640    0.7789    0.7803    0.7768    0.3849    0.0351   0.01153         0
    65/199     7.62G   0.03489   0.01998         0   0.05487        25       640    0.8264    0.7243    0.7962    0.3912   0.03579   0.01169         0
    66/199     7.62G   0.03591   0.02067         0   0.05658        34       640    0.8114    0.7476     0.793    0.4011   0.03476   0.01177         0
    67/199     7.62G   0.03547   0.02046         0   0.05593        34       640    0.7894    0.7733    0.7967    0.3958   0.03485   0.01158         0
    68/199     7.62G    0.0356    0.0212         0    0.0568        46       640    0.7918    0.7527    0.7842    0.3938   0.03539   0.01168         0
    69/199     7.62G   0.03503   0.02051         0   0.05553        40       640    0.8115    0.7527    0.8077    0.4023   0.03401   0.01176         0
    70/199     7.62G   0.03508   0.02078         0   0.05586        31       640     0.795    0.7886    0.8306    0.4262    0.0331    0.0114         0
    71/199     7.62G   0.03511   0.02061         0   0.05572        33       640    0.7751    0.8003     0.796     0.404   0.03418   0.01139         0
    72/199     7.62G   0.03523    0.0204         0   0.05563        32       640    0.7551    0.7575    0.7626    0.3797   0.03408   0.01196         0
    73/199     7.62G   0.03478   0.02057         0   0.05535        33       640    0.7457     0.806    0.7774    0.4018   0.03367   0.01207         0
    74/199     7.62G   0.03432   0.02042         0   0.05475        30       640    0.7948    0.7753    0.7975    0.4167   0.03414   0.01111         0
    75/199     7.62G   0.03496   0.02113         0   0.05609        32       640    0.8181    0.7644    0.8219    0.4243    0.0332   0.01109         0
    76/199     7.62G   0.03496   0.02097         0   0.05593        49       640    0.8062    0.7647    0.8048    0.4141   0.03503   0.01145         0
    77/199     7.62G   0.03505   0.02076         0   0.05581        39       640    0.7853    0.7792    0.8042    0.4171   0.03346   0.01143         0
    78/199     7.62G   0.03456   0.02029         0   0.05485        24       640    0.8185    0.7759    0.8184    0.4313   0.03352   0.01104         0
    79/199     7.62G   0.03371   0.02039         0    0.0541        28       640    0.7946    0.7995    0.8229    0.4262   0.03309   0.01142         0
    80/199     7.62G    0.0338   0.01992         0   0.05373        36       640    0.8176     0.794    0.8383    0.4386   0.03344   0.01134         0
    81/199     7.62G   0.03358    0.0206         0   0.05418        40       640    0.8126    0.7786    0.7938    0.4191   0.03333   0.01147         0
    82/199     7.62G   0.03369   0.02045         0   0.05415        35       640    0.8198    0.7719    0.8116    0.4363   0.03353   0.01125         0
    83/199     7.62G   0.03418   0.02027         0   0.05445        31       640    0.7721     0.817    0.8388    0.4522   0.03347    0.0112         0
    84/199     7.62G   0.03352   0.02006         0   0.05358        28       640    0.8129    0.7853    0.8131    0.4261     0.034   0.01122         0
    85/199     7.62G   0.03346    0.0204         0   0.05386        46       640    0.7959    0.7728    0.8161    0.4292   0.03261   0.01163         0
    86/199     7.62G   0.03388   0.02036         0   0.05424        30       640    0.7899    0.8037      0.81    0.4249   0.03353   0.01146         0
    87/199     7.62G   0.03311   0.02018         0   0.05328        26       640    0.8174    0.7856    0.8238    0.4392   0.03427   0.01091         0
    88/199     7.62G   0.03383   0.01982         0   0.05365        30       640    0.8267    0.7692    0.8132    0.4123   0.03425   0.01117         0
    89/199     7.62G   0.03285   0.02039         0   0.05324        36       640    0.7895    0.7992    0.8107    0.4371   0.03323   0.01089         0
    90/199     7.62G   0.03322   0.01978         0   0.05301        42       640     0.791    0.8094    0.8305    0.4386   0.03374   0.01083         0
    91/199     7.62G   0.03295   0.02002         0   0.05297        42       640    0.8048     0.775    0.7864    0.4148   0.03401   0.01052         0
    92/199     7.62G   0.03283   0.02045         0   0.05328        33       640    0.7894    0.8048    0.8091    0.4279   0.03355   0.01136         0
    93/199     7.62G   0.03246   0.01984         0    0.0523        32       640    0.7815    0.8129    0.8065    0.4312    0.0336   0.01118         0
    94/199     7.62G   0.03329   0.01975         0   0.05304        28       640    0.7894    0.8037    0.8168    0.4357   0.03325   0.01131         0
    95/199     7.62G   0.03308   0.02077         0   0.05385        40       640    0.8143    0.7903    0.8192    0.4334   0.03293   0.01109         0
    96/199     7.62G    0.0323   0.01973         0   0.05203        38       640    0.8066    0.8012    0.8128    0.4334   0.03381   0.01074         0
    97/199     7.62G   0.03247   0.01977         0   0.05223        24       640    0.8175    0.8044    0.8362    0.4624   0.03249   0.01039         0
    98/199     7.62G   0.03191   0.01934         0   0.05125        23       640     0.813    0.8134     0.842    0.4501   0.03379   0.01151         0
    99/199     7.62G   0.03241   0.02001         0   0.05242        26       640    0.7912    0.8012    0.8015    0.4268   0.03324   0.01071         0
   100/199     7.62G   0.03191   0.01942         0   0.05133        27       640    0.7985    0.8142    0.8132     0.438    0.0333   0.01117         0
   101/199     7.62G   0.03282   0.01972         0   0.05254        31       640    0.7873    0.8321    0.8184    0.4371   0.03354   0.01059         0
   102/199     7.62G   0.03192   0.01991         0   0.05182        38       640    0.8235    0.7953    0.8404    0.4591   0.03363   0.01086         0
   103/199     7.62G   0.03166    0.0193         0   0.05096        28       640     0.805    0.7793    0.8042    0.4173   0.03316   0.01078         0
   104/199     7.62G   0.03197   0.01942         0    0.0514        37       640     0.809    0.8179    0.8367    0.4534   0.03283   0.01092         0
   105/199     7.62G   0.03234   0.01984         0   0.05218        30       640    0.8238    0.7861    0.8123    0.4489   0.03342   0.01092         0
   106/199     7.62G   0.03164   0.01936         0     0.051        30       640    0.8147     0.797    0.8256    0.4546   0.03341   0.01088         0
   107/199     7.62G   0.03143    0.0196         0   0.05104        32       640    0.8209    0.7852    0.8256    0.4461   0.03316   0.01137         0
   108/199     7.62G   0.03222   0.01975         0   0.05197        48       640    0.8015    0.8128    0.8292    0.4571   0.03365   0.01108         0
   109/199     7.62G   0.03208   0.01976         0   0.05184        35       640    0.8212    0.8037    0.8234    0.4536   0.03238   0.01128         0
   110/199     7.62G   0.03132   0.01926         0   0.05058        25       640    0.8089    0.8168    0.8313    0.4615   0.03361   0.01078         0
   111/199     7.62G    0.0325   0.01921         0   0.05171        31       640    0.7842    0.8195     0.823    0.4503   0.03388    0.0104         0
   112/199     7.62G   0.03091   0.01968         0   0.05058        39       640    0.7919    0.8404    0.8344    0.4619     0.033   0.01101         0
   113/199     7.62G   0.03061   0.01916         0   0.04977        29       640    0.8213    0.8237    0.8249    0.4514   0.03272   0.01059         0
   114/199     7.62G   0.03085   0.01958         0   0.05043        31       640    0.8289    0.8299     0.835    0.4506   0.03301   0.01093         0
   115/199     7.62G   0.03187   0.01964         0   0.05151        37       640    0.8089    0.8311    0.8261     0.455    0.0327   0.01054         0
   116/199     7.62G   0.03146   0.01958         0   0.05104        37       640    0.8279    0.7995    0.8396    0.4676    0.0338   0.01097         0
   117/199     7.62G   0.03054   0.01899         0   0.04953        39       640    0.8313    0.7944    0.8383    0.4628   0.03262   0.01092         0
   118/199     7.62G   0.03073   0.01904         0   0.04977        36       640    0.7841    0.8436    0.8278    0.4547   0.03271   0.01092         0
   119/199     7.62G   0.03087   0.01892         0   0.04979        33       640    0.7773    0.8367    0.8245    0.4623   0.03296   0.01102         0
   120/199     7.62G   0.03114   0.01906         0   0.05021        40       640    0.8171    0.7995    0.8215    0.4585   0.03349   0.01074         0
   121/199     7.62G   0.03031   0.01951         0   0.04982        41       640    0.8268    0.7995    0.8327    0.4643   0.03265   0.01098         0
